col1;col2;col3;col4;col5;col6;col7;col8;col9
mela;232;55;0.3;11.6;0.3;2.1;apple;apple_image
banana;403;95;1.1;17.2;0.3;2;banana;banana_image
barbabietola;192;46;1.5;8.4;0.1;2.5;beetroot;beetroot_image
peperone;85;20;0.8;2.5;0.3;2;bell_pepper;bell_pepper_image
cavolo;123;29;2.2;2.9;0.3;2.7;cabbage;cabbage_image
capsico;194;46;3.1;5;0.8;3.1;capsicum;capsicum_image
carota;158;38;0.8;6.4;0.3;2.6;carrots;carrots_image
cavolfiore;110;26;2.4;2;0.3;2.4;cauliflower;cauliflower_image
peperoncino;1250;295;1.5;60;2;9.2;chili;chili_image
mais;391;93;3.3;3.4;1.2;2.8;corn;corn_image
cetriolo;57;14;0.7;1.9;0.1;0.8;cucumber;cucumber_image
melanzana;96;23;1;2.8;0.2;2.4;eggplant;eggplant_image
aglio;578;137;7;2.4;0.5;3;garlic;garlic_image
zenzero;1360;321;3;70.3;0.9;4.2;ginger;ginger_image
uva;292;69;0.7;15;0.3;1.5;grapes;grapes_image
jalapeno;56;14;1;0.6;0.2;2.5;jalapeno;jalapeno_image
kiwi;229;54;1.1;9.8;0.6;2.5;kiwi;kiwi_image
limone;96;23;0.8;2.5;0.5;2;lemon;lemon_image
lattuga;65;16;1;1.6;0.2;1.8;lettuce;lettuce_image
mango;264;62;0.6;13.1;0.2;2.3;mango;mango_image
cipolla;163;39;1.3;7;0.2;1.8;onion;onion_image
arancia;185;44;1;8.6;0.2;1.8;orange;orange_image
paprika;248;59;0.4;12.2;0.4;2.2;paprika;paprika_image
pera;244;58;0.4;12.2;0.3;2.3;pear;pear_image
piselli;380;90;6;5.5;0.7;6;peas;peas_image
ananas;219;52;0.4;11.3;0.2;1.4;pineapple;pineapple_image
melograno;112;27;1.2;3.3;0.2;2.8;pomegranate;pomegranate_image
patate;379;89;0.3;20.4;0.3;1.9;potato;potato_image
raddish;72;17;1.1;2.1;0.1;1.6;raddish;raddish_image
fagioli;136;32;2.2;2.3;0.2;3.3;beans;beans_image
spinaci;95;23;2.7;0.7;0.4;2.6;spinach;spinach_image
mais dolce;391;93;3.3;3.4;1.2;2.8;sausage;sausage_image
patata dolce;232;55;0.3;11.6;0.3;2.1;sweet_potato;sweet_potato_image
pomodoro;89;21;0.8;3.2;0.3;1.2;tomato;tomato_image
rapa;242;58;1.3;9;0.3;7;turnip;turnip_image
anguria;129;31;0.5;6.3;0.3;0.3;watermelon;watermelon_image
